id,hora_inicio,hora_fin,nota
30064,24 de mayo de 2021  13:30,24 de mayo de 2021  13:32,"66,67"
33201,24 de mayo de 2021  13:35,24 de mayo de 2021  13:47,"66,67"
33268,24 de mayo de 2021  13:35,24 de mayo de 2021  13:38,"50,00"
34465,24 de mayo de 2021  13:37,24 de mayo de 2021  13:38,"50,00"
34102,24 de mayo de 2021  13:44,24 de mayo de 2021  13:48,"100,00"
29915,24 de mayo de 2021  13:55,24 de mayo de 2021  13:58,"83,33"
34384,24 de mayo de 2021  14:11,24 de mayo de 2021  14:17,"66,67"
33240,24 de mayo de 2021  14:41,24 de mayo de 2021  14:44,"66,67"
34041,24 de mayo de 2021  14:43,24 de mayo de 2021  14:45,"83,33"
32782,24 de mayo de 2021  15:32,24 de mayo de 2021  15:42,"83,33"
33870,24 de mayo de 2021  15:41,24 de mayo de 2021  15:42,"83,33"
33327,24 de mayo de 2021  15:46,24 de mayo de 2021  15:47,"66,67"
33327,24 de mayo de 2021  15:48,24 de mayo de 2021  15:50,"100,00"
26859,24 de mayo de 2021  16:18,24 de mayo de 2021  16:23,"50,00"
26859,24 de mayo de 2021  16:25,24 de mayo de 2021  16:29,"83,33"
34675,24 de mayo de 2021  18:34,24 de mayo de 2021  18:42,"50,00"
34970,24 de mayo de 2021  18:45,24 de mayo de 2021  19:01,"66,67"
33420,24 de mayo de 2021  19:18,24 de mayo de 2021  19:22,"66,67"
33468,24 de mayo de 2021  20:36,24 de mayo de 2021  21:33,"66,67"
27409,24 de mayo de 2021  20:46,24 de mayo de 2021  20:55,"66,67"
34350,24 de mayo de 2021  21:30,24 de mayo de 2021  21:45,"66,67"
33468,24 de mayo de 2021  21:50,24 de mayo de 2021  22:02,"66,67"
34609,24 de mayo de 2021  22:27,24 de mayo de 2021  22:29,"100,00"
26228,24 de mayo de 2021  22:44,24 de mayo de 2021  22:46,"66,67"
32355,24 de mayo de 2021  22:46,24 de mayo de 2021  22:47,"100,00"
26228,24 de mayo de 2021  22:47,24 de mayo de 2021  22:48,"100,00"
26505,24 de mayo de 2021  22:49,24 de mayo de 2021  22:54,"83,33"
26505,24 de mayo de 2021  22:57,24 de mayo de 2021  23:02,"100,00"
12290,24 de mayo de 2021  23:12,24 de mayo de 2021  23:13,"66,67"
34417,24 de mayo de 2021  23:23,24 de mayo de 2021  23:24,"50,00"
33554,24 de mayo de 2021  23:27,24 de mayo de 2021  23:31,"83,33"
