id,hora_inicio,hora_fin,nota
30064,24 de mayo de 2021  13:27,24 de mayo de 2021  13:28,"100,00"
33201,24 de mayo de 2021  13:29,24 de mayo de 2021  13:34,"50,00"
33268,24 de mayo de 2021  13:31,24 de mayo de 2021  13:33,"75,00"
34465,24 de mayo de 2021  13:33,24 de mayo de 2021  13:34,"75,00"
34465,24 de mayo de 2021  13:34,24 de mayo de 2021  13:34,"100,00"
33268,24 de mayo de 2021  13:34,24 de mayo de 2021  13:35,"100,00"
34465,24 de mayo de 2021  13:35,24 de mayo de 2021  13:36,"100,00"
34102,24 de mayo de 2021  13:39,24 de mayo de 2021  13:40,"50,00"
34102,24 de mayo de 2021  13:40,24 de mayo de 2021  13:41,"100,00"
29915,24 de mayo de 2021  13:50,24 de mayo de 2021  13:53,"100,00"
34384,24 de mayo de 2021  13:56,24 de mayo de 2021  13:58,"100,00"
34041,24 de mayo de 2021  14:41,24 de mayo de 2021  14:42,"75,00"
32782,24 de mayo de 2021  15:15,24 de mayo de 2021  15:24,"100,00"
32496,24 de mayo de 2021  15:16,24 de mayo de 2021  15:17,"75,00"
33870,24 de mayo de 2021  15:39,24 de mayo de 2021  15:40,"100,00"
33327,24 de mayo de 2021  15:40,24 de mayo de 2021  15:41,"75,00"
33327,24 de mayo de 2021  15:41,24 de mayo de 2021  15:42,"75,00"
32410,24 de mayo de 2021  15:41,24 de mayo de 2021  15:42,"100,00"
26859,24 de mayo de 2021  15:55,24 de mayo de 2021  15:57,"75,00"
26859,24 de mayo de 2021  15:58,24 de mayo de 2021  15:59,"100,00"
35273,24 de mayo de 2021  16:29,31 de mayo de 2021  16:30,"0,00"
34350,24 de mayo de 2021  16:47,24 de mayo de 2021  16:49,"100,00"
34350,24 de mayo de 2021  16:52,24 de mayo de 2021  16:54,"75,00"
25248,24 de mayo de 2021  17:19,25 de mayo de 2021  23:45,"75,00"
34970,24 de mayo de 2021  18:31,24 de mayo de 2021  18:38,"75,00"
33420,24 de mayo de 2021  19:06,24 de mayo de 2021  19:08,"50,00"
33420,24 de mayo de 2021  19:09,24 de mayo de 2021  19:11,"100,00"
33468,24 de mayo de 2021  20:13,24 de mayo de 2021  20:19,"75,00"
27409,24 de mayo de 2021  20:38,24 de mayo de 2021  20:40,"100,00"
34350,24 de mayo de 2021  21:26,24 de mayo de 2021  21:28,"75,00"
34276,24 de mayo de 2021  21:59,24 de mayo de 2021  21:59,"75,00"
34276,24 de mayo de 2021  22:00,24 de mayo de 2021  22:00,"50,00"
34276,24 de mayo de 2021  22:05,24 de mayo de 2021  22:06,"25,00"
34276,24 de mayo de 2021  22:06,24 de mayo de 2021  22:07,"75,00"
34609,24 de mayo de 2021  22:24,24 de mayo de 2021  22:25,"100,00"
26228,24 de mayo de 2021  22:34,24 de mayo de 2021  22:35,"75,00"
32355,24 de mayo de 2021  22:37,24 de mayo de 2021  22:38,"75,00"
26505,24 de mayo de 2021  22:41,24 de mayo de 2021  22:44,"100,00"
26228,24 de mayo de 2021  22:42,24 de mayo de 2021  22:43,"100,00"
26228,24 de mayo de 2021  22:43,24 de mayo de 2021  23:14,"100,00"
34058,24 de mayo de 2021  22:44,24 de mayo de 2021  22:45,"100,00"
26505,24 de mayo de 2021  22:45,24 de mayo de 2021  22:47,"75,00"
35239,24 de mayo de 2021  22:51,24 de mayo de 2021  22:52,"75,00"
35239,24 de mayo de 2021  22:53,26 de mayo de 2021  15:29,"100,00"
12290,24 de mayo de 2021  23:04,24 de mayo de 2021  23:05,"75,00"
34417,24 de mayo de 2021  23:13,24 de mayo de 2021  23:19,"75,00"
32826,24 de mayo de 2021  23:14,24 de mayo de 2021  23:15,"100,00"
33554,24 de mayo de 2021  23:16,24 de mayo de 2021  23:18,"75,00"
33554,24 de mayo de 2021  23:19,24 de mayo de 2021  23:21,"100,00"
32668,24 de mayo de 2021  23:42,24 de mayo de 2021  23:44,"75,00"
32668,24 de mayo de 2021  23:44,24 de mayo de 2021  23:45,"75,00"
33548,24 de mayo de 2021  23:50,28 de mayo de 2021  22:21,"75,00"
29200,25 de mayo de 2021  00:11,25 de mayo de 2021  00:13,"75,00"
29200,25 de mayo de 2021  00:13,25 de mayo de 2021  00:16,"75,00"
26228,25 de mayo de 2021  00:18,25 de mayo de 2021  00:19,"100,00"
28346,25 de mayo de 2021  00:22,25 de mayo de 2021  00:23,"100,00"
33301,25 de mayo de 2021  01:12,25 de mayo de 2021  01:12,"75,00"
32660,25 de mayo de 2021  01:27,25 de mayo de 2021  01:28,"100,00"
35009,25 de mayo de 2021  01:37,25 de mayo de 2021  01:39,"100,00"
33301,25 de mayo de 2021  01:48,25 de mayo de 2021  01:58,"100,00"
35009,25 de mayo de 2021  01:48,25 de mayo de 2021  01:49,"75,00"
33301,25 de mayo de 2021  01:58,25 de mayo de 2021  01:59,"50,00"
33301,25 de mayo de 2021  01:59,25 de mayo de 2021  02:00,"100,00"
32195,25 de mayo de 2021  02:33,25 de mayo de 2021  02:33,"100,00"
32969,25 de mayo de 2021  02:49,25 de mayo de 2021  02:50,"75,00"
32969,25 de mayo de 2021  02:50,25 de mayo de 2021  02:51,"75,00"
32756,25 de mayo de 2021  08:32,25 de mayo de 2021  08:33,"75,00"
24436,25 de mayo de 2021  08:41,25 de mayo de 2021  08:43,"100,00"
29945,25 de mayo de 2021  09:07,25 de mayo de 2021  09:08,"100,00"
34900,25 de mayo de 2021  09:10,25 de mayo de 2021  09:11,"100,00"
34199,25 de mayo de 2021  09:26,25 de mayo de 2021  09:30,"100,00"
26341,25 de mayo de 2021  09:45,25 de mayo de 2021  09:46,"75,00"
26341,25 de mayo de 2021  09:47,25 de mayo de 2021  09:48,"75,00"
26341,25 de mayo de 2021  09:48,25 de mayo de 2021  09:49,"100,00"
26341,25 de mayo de 2021  09:49,25 de mayo de 2021  09:50,"100,00"
29149,25 de mayo de 2021  09:53,25 de mayo de 2021  09:53,"100,00"
29149,25 de mayo de 2021  09:53,25 de mayo de 2021  09:54,"100,00"
29149,25 de mayo de 2021  09:54,25 de mayo de 2021  09:55,"100,00"
30062,25 de mayo de 2021  10:04,25 de mayo de 2021  10:05,"100,00"
29281,25 de mayo de 2021  10:06,25 de mayo de 2021  10:07,"25,00"
29281,25 de mayo de 2021  10:07,25 de mayo de 2021  10:08,"75,00"
29281,25 de mayo de 2021  10:15,25 de mayo de 2021  10:16,"25,00"
29281,25 de mayo de 2021  10:16,25 de mayo de 2021  10:17,"75,00"
29067,25 de mayo de 2021  10:53,25 de mayo de 2021  10:53,"50,00"
29067,25 de mayo de 2021  10:54,25 de mayo de 2021  10:54,"100,00"
32948,25 de mayo de 2021  10:59,25 de mayo de 2021  11:00,"75,00"
33933,25 de mayo de 2021  11:30,25 de mayo de 2021  11:36,"100,00"
33933,25 de mayo de 2021  11:40,25 de mayo de 2021  11:42,"100,00"
28036,25 de mayo de 2021  11:41,25 de mayo de 2021  11:41,"100,00"
32981,25 de mayo de 2021  12:02,25 de mayo de 2021  12:03,"100,00"
32225,25 de mayo de 2021  12:03,25 de mayo de 2021  12:04,"75,00"
32225,25 de mayo de 2021  12:05,25 de mayo de 2021  12:08,"100,00"
30432,25 de mayo de 2021  12:07,25 de mayo de 2021  12:07,"100,00"
32225,25 de mayo de 2021  12:09,25 de mayo de 2021  12:13,"75,00"
34901,25 de mayo de 2021  12:13,25 de mayo de 2021  12:14,"100,00"
32225,25 de mayo de 2021  12:16,25 de mayo de 2021  12:20,"75,00"
33556,25 de mayo de 2021  12:28,25 de mayo de 2021  12:29,"75,00"
34274,25 de mayo de 2021  12:32,25 de mayo de 2021  12:33,"100,00"
32824,25 de mayo de 2021  13:27,25 de mayo de 2021  13:29,"100,00"
33209,25 de mayo de 2021  13:49,25 de mayo de 2021  13:50,"75,00"
32660,25 de mayo de 2021  13:58,25 de mayo de 2021  13:59,"100,00"
34305,25 de mayo de 2021  14:05,25 de mayo de 2021  14:07,"50,00"
29149,25 de mayo de 2021  14:24,25 de mayo de 2021  14:25,"100,00"
30104,25 de mayo de 2021  14:24,25 de mayo de 2021  14:27,"100,00"
29149,25 de mayo de 2021  14:25,25 de mayo de 2021  14:27,"50,00"
29149,25 de mayo de 2021  14:28,25 de mayo de 2021  14:28,"100,00"
29149,25 de mayo de 2021  14:28,25 de mayo de 2021  14:29,"100,00"
29149,25 de mayo de 2021  14:29,25 de mayo de 2021  14:30,"100,00"
32317,25 de mayo de 2021  15:00,25 de mayo de 2021  15:01,"100,00"
33053,25 de mayo de 2021  15:02,25 de mayo de 2021  15:07,"75,00"
33790,25 de mayo de 2021  15:02,25 de mayo de 2021  15:08,"100,00"
15539,25 de mayo de 2021  15:14,26 de mayo de 2021  11:00,"75,00"
32198,25 de mayo de 2021  15:28,25 de mayo de 2021  15:50,"25,00"
32198,25 de mayo de 2021  15:51,25 de mayo de 2021  15:55,"75,00"
32375,25 de mayo de 2021  15:52,25 de mayo de 2021  15:53,"100,00"
29419,25 de mayo de 2021  15:57,25 de mayo de 2021  16:00,"50,00"
33039,25 de mayo de 2021  16:36,25 de mayo de 2021  16:45,"50,00"
35331,25 de mayo de 2021  16:37,25 de mayo de 2021  16:40,"100,00"
32423,25 de mayo de 2021  16:38,25 de mayo de 2021  16:39,"100,00"
33060,25 de mayo de 2021  16:39,25 de mayo de 2021  19:05,"100,00"
32494,25 de mayo de 2021  16:43,25 de mayo de 2021  16:44,"100,00"
32494,25 de mayo de 2021  16:45,25 de mayo de 2021  16:45,"100,00"
32494,25 de mayo de 2021  16:46,25 de mayo de 2021  16:47,"75,00"
26254,25 de mayo de 2021  16:52,25 de mayo de 2021  16:54,"100,00"
26182,25 de mayo de 2021  16:55,25 de mayo de 2021  16:56,"75,00"
26182,25 de mayo de 2021  16:56,25 de mayo de 2021  16:58,"75,00"
34809,25 de mayo de 2021  16:57,25 de mayo de 2021  16:59,"50,00"
29053,25 de mayo de 2021  17:03,25 de mayo de 2021  17:04,"50,00"
30834,25 de mayo de 2021  17:03,25 de mayo de 2021  17:04,"50,00"
29006,25 de mayo de 2021  17:03,25 de mayo de 2021  17:04,"100,00"
32579,25 de mayo de 2021  17:04,25 de mayo de 2021  17:08,"75,00"
30834,25 de mayo de 2021  17:04,25 de mayo de 2021  17:06,"50,00"
29053,25 de mayo de 2021  17:04,25 de mayo de 2021  17:06,"75,00"
30834,25 de mayo de 2021  17:06,25 de mayo de 2021  17:07,"100,00"
29053,25 de mayo de 2021  17:07,25 de mayo de 2021  17:08,"100,00"
33904,25 de mayo de 2021  17:08,25 de mayo de 2021  17:10,"75,00"
30038,25 de mayo de 2021  17:09,25 de mayo de 2021  17:13,"100,00"
28734,25 de mayo de 2021  17:10,25 de mayo de 2021  17:12,"100,00"
21458,25 de mayo de 2021  17:10,25 de mayo de 2021  17:13,"100,00"
33904,25 de mayo de 2021  17:10,25 de mayo de 2021  17:22,"100,00"
32207,25 de mayo de 2021  17:11,25 de mayo de 2021  17:13,"50,00"
21458,25 de mayo de 2021  17:13,25 de mayo de 2021  17:15,"75,00"
32207,25 de mayo de 2021  17:13,25 de mayo de 2021  17:15,"75,00"
30038,25 de mayo de 2021  17:15,25 de mayo de 2021  17:16,"100,00"
21458,25 de mayo de 2021  17:15,25 de mayo de 2021  17:18,"50,00"
32207,25 de mayo de 2021  17:15,25 de mayo de 2021  17:16,"100,00"
21458,25 de mayo de 2021  17:18,25 de mayo de 2021  17:21,"100,00"
21458,25 de mayo de 2021  17:21,25 de mayo de 2021  17:23,"75,00"
33283,25 de mayo de 2021  17:22,1 de junio de 2021  17:30,"100,00"
33719,25 de mayo de 2021  17:25,25 de mayo de 2021  17:28,"100,00"
26925,25 de mayo de 2021  17:37,25 de mayo de 2021  17:39,"75,00"
35550,25 de mayo de 2021  17:41,25 de mayo de 2021  17:43,"100,00"
3414,25 de mayo de 2021  17:43,25 de mayo de 2021  17:46,"100,00"
35550,25 de mayo de 2021  17:43,25 de mayo de 2021  17:45,"25,00"
34350,25 de mayo de 2021  17:45,25 de mayo de 2021  17:46,"100,00"
35550,25 de mayo de 2021  17:45,25 de mayo de 2021  17:47,"25,00"
35550,25 de mayo de 2021  17:48,25 de mayo de 2021  17:49,"50,00"
34102,25 de mayo de 2021  17:49,25 de mayo de 2021  17:52,"75,00"
35550,25 de mayo de 2021  17:49,25 de mayo de 2021  17:50,"75,00"
32748,25 de mayo de 2021  17:58,25 de mayo de 2021  18:02,"100,00"
32280,25 de mayo de 2021  18:10,25 de mayo de 2021  18:11,"75,00"
32280,25 de mayo de 2021  18:11,25 de mayo de 2021  18:12,"100,00"
30804,25 de mayo de 2021  18:18,25 de mayo de 2021  18:19,"75,00"
34239,25 de mayo de 2021  18:18,26 de mayo de 2021  23:49,"50,00"
32061,25 de mayo de 2021  18:22,25 de mayo de 2021  18:23,"50,00"
32061,25 de mayo de 2021  18:23,25 de mayo de 2021  18:24,"75,00"
26925,25 de mayo de 2021  18:25,25 de mayo de 2021  18:26,"75,00"
15716,25 de mayo de 2021  18:29,25 de mayo de 2021  18:30,"75,00"
33297,25 de mayo de 2021  18:29,25 de mayo de 2021  18:36,"0,00"
33646,25 de mayo de 2021  18:30,25 de mayo de 2021  18:32,"50,00"
33520,25 de mayo de 2021  18:32,25 de mayo de 2021  18:33,"50,00"
33297,25 de mayo de 2021  18:37,25 de mayo de 2021  18:39,"100,00"
32395,25 de mayo de 2021  18:37,25 de mayo de 2021  18:38,"100,00"
32404,25 de mayo de 2021  18:44,25 de mayo de 2021  18:45,"75,00"
32404,25 de mayo de 2021  18:45,25 de mayo de 2021  18:46,"100,00"
32435,25 de mayo de 2021  18:49,25 de mayo de 2021  18:51,"100,00"
33501,25 de mayo de 2021  18:50,25 de mayo de 2021  18:52,"75,00"
32483,25 de mayo de 2021  18:58,25 de mayo de 2021  19:00,"100,00"
9250,25 de mayo de 2021  19:05,25 de mayo de 2021  19:05,"100,00"
33475,25 de mayo de 2021  19:10,25 de mayo de 2021  19:15,"75,00"
29032,25 de mayo de 2021  19:14,25 de mayo de 2021  19:15,"100,00"
32674,25 de mayo de 2021  19:23,25 de mayo de 2021  19:27,"75,00"
32839,25 de mayo de 2021  19:27,25 de mayo de 2021  19:28,"100,00"
32839,25 de mayo de 2021  19:28,25 de mayo de 2021  19:29,"75,00"
32195,25 de mayo de 2021  19:31,25 de mayo de 2021  19:32,"75,00"
32492,25 de mayo de 2021  19:33,25 de mayo de 2021  19:34,"100,00"
33110,25 de mayo de 2021  19:36,25 de mayo de 2021  19:36,"75,00"
20805,25 de mayo de 2021  19:44,25 de mayo de 2021  19:45,"100,00"
32765,25 de mayo de 2021  19:45,25 de mayo de 2021  19:47,"100,00"
29316,25 de mayo de 2021  19:49,25 de mayo de 2021  19:51,"75,00"
32533,25 de mayo de 2021  19:51,25 de mayo de 2021  19:55,"75,00"
29316,25 de mayo de 2021  19:52,25 de mayo de 2021  19:54,"100,00"
32814,25 de mayo de 2021  19:53,25 de mayo de 2021  19:54,"50,00"
32814,25 de mayo de 2021  19:55,25 de mayo de 2021  19:56,"100,00"
32533,25 de mayo de 2021  19:55,25 de mayo de 2021  19:56,"100,00"
32270,25 de mayo de 2021  20:02,25 de mayo de 2021  20:06,"75,00"
32496,25 de mayo de 2021  20:02,25 de mayo de 2021  20:03,"50,00"
32270,25 de mayo de 2021  20:07,25 de mayo de 2021  20:08,"75,00"
20603,25 de mayo de 2021  20:17,25 de mayo de 2021  20:18,"100,00"
32391,25 de mayo de 2021  20:34,25 de mayo de 2021  20:38,"75,00"
32513,25 de mayo de 2021  20:36,25 de mayo de 2021  20:36,"75,00"
34452,25 de mayo de 2021  20:42,25 de mayo de 2021  20:45,"50,00"
34452,25 de mayo de 2021  20:45,25 de mayo de 2021  20:48,"50,00"
34452,25 de mayo de 2021  20:51,25 de mayo de 2021  20:53,"75,00"
21822,25 de mayo de 2021  20:53,25 de mayo de 2021  20:56,"75,00"
34452,25 de mayo de 2021  20:55,25 de mayo de 2021  20:59,"75,00"
33879,25 de mayo de 2021  20:55,25 de mayo de 2021  21:22,"75,00"
26814,25 de mayo de 2021  20:56,25 de mayo de 2021  20:57,"100,00"
33401,25 de mayo de 2021  21:00,25 de mayo de 2021  21:01,"100,00"
34452,25 de mayo de 2021  21:04,25 de mayo de 2021  21:05,"100,00"
34277,25 de mayo de 2021  21:09,25 de mayo de 2021  21:10,"75,00"
32937,25 de mayo de 2021  21:17,25 de mayo de 2021  21:18,"50,00"
32937,25 de mayo de 2021  21:18,25 de mayo de 2021  21:19,"100,00"
33401,25 de mayo de 2021  21:21,25 de mayo de 2021  21:22,"75,00"
33401,25 de mayo de 2021  21:22,25 de mayo de 2021  21:23,"100,00"
32544,25 de mayo de 2021  21:24,25 de mayo de 2021  21:26,"100,00"
32475,25 de mayo de 2021  21:26,25 de mayo de 2021  21:28,"50,00"
32475,25 de mayo de 2021  21:29,25 de mayo de 2021  21:30,"100,00"
34087,25 de mayo de 2021  21:35,25 de mayo de 2021  21:38,"100,00"
34164,25 de mayo de 2021  21:42,25 de mayo de 2021  21:44,"100,00"
32502,25 de mayo de 2021  21:43,25 de mayo de 2021  22:08,"50,00"
33078,25 de mayo de 2021  21:45,26 de mayo de 2021  14:45,"100,00"
32214,25 de mayo de 2021  21:50,25 de mayo de 2021  21:51,"100,00"
34682,25 de mayo de 2021  21:54,25 de mayo de 2021  21:55,"100,00"
32365,25 de mayo de 2021  21:55,25 de mayo de 2021  21:57,"75,00"
32472,25 de mayo de 2021  22:05,25 de mayo de 2021  22:07,"75,00"
32472,25 de mayo de 2021  22:07,25 de mayo de 2021  22:09,"75,00"
32472,25 de mayo de 2021  22:09,28 de mayo de 2021  21:49,"50,00"
30298,25 de mayo de 2021  22:10,25 de mayo de 2021  22:11,"100,00"
27373,25 de mayo de 2021  22:11,25 de mayo de 2021  22:14,"75,00"
34484,25 de mayo de 2021  22:17,25 de mayo de 2021  22:19,"75,00"
30084,25 de mayo de 2021  22:23,25 de mayo de 2021  22:23,"100,00"
34397,25 de mayo de 2021  22:24,25 de mayo de 2021  22:24,"100,00"
27373,25 de mayo de 2021  22:29,25 de mayo de 2021  22:33,"75,00"
18145,25 de mayo de 2021  22:29,25 de mayo de 2021  22:31,"100,00"
33818,25 de mayo de 2021  22:35,25 de mayo de 2021  22:37,"75,00"
32860,25 de mayo de 2021  22:39,25 de mayo de 2021  22:40,"100,00"
27373,25 de mayo de 2021  22:40,25 de mayo de 2021  22:42,"50,00"
32939,25 de mayo de 2021  22:42,25 de mayo de 2021  22:44,"50,00"
26180,25 de mayo de 2021  22:48,25 de mayo de 2021  22:50,"75,00"
26180,25 de mayo de 2021  22:50,25 de mayo de 2021  22:51,"100,00"
35471,25 de mayo de 2021  22:55,25 de mayo de 2021  22:57,"25,00"
27373,25 de mayo de 2021  22:56,25 de mayo de 2021  23:07,"75,00"
33177,25 de mayo de 2021  22:59,25 de mayo de 2021  23:00,"50,00"
33040,25 de mayo de 2021  23:01,25 de mayo de 2021  23:02,"100,00"
34783,25 de mayo de 2021  23:04,25 de mayo de 2021  23:08,"50,00"
20588,25 de mayo de 2021  23:04,25 de mayo de 2021  23:11,"25,00"
33647,25 de mayo de 2021  23:07,25 de mayo de 2021  23:09,"100,00"
34028,25 de mayo de 2021  23:09,25 de mayo de 2021  23:13,"75,00"
32829,25 de mayo de 2021  23:10,25 de mayo de 2021  23:11,"75,00"
32797,25 de mayo de 2021  23:13,25 de mayo de 2021  23:14,"75,00"
32378,25 de mayo de 2021  23:15,25 de mayo de 2021  23:17,"100,00"
35369,25 de mayo de 2021  23:28,25 de mayo de 2021  23:29,"100,00"
32930,25 de mayo de 2021  23:29,25 de mayo de 2021  23:31,"100,00"
27373,25 de mayo de 2021  23:35,25 de mayo de 2021  23:37,"100,00"
32766,25 de mayo de 2021  23:36,25 de mayo de 2021  23:36,"75,00"
32766,25 de mayo de 2021  23:37,25 de mayo de 2021  23:37,"50,00"
29979,25 de mayo de 2021  23:45,25 de mayo de 2021  23:46,"75,00"
