id,hora_inicio,hora_fin,nota
33168,24 de mayo de 2021  12:12,24 de mayo de 2021  12:19,63
12276,24 de mayo de 2021  12:17,24 de mayo de 2021  12:20,88
32483,24 de mayo de 2021  12:21,24 de mayo de 2021  12:24,88
11971,24 de mayo de 2021  12:33,24 de mayo de 2021  12:59,75
34384,24 de mayo de 2021  12:42,24 de mayo de 2021  12:46,100
33201,24 de mayo de 2021  12:56,24 de mayo de 2021  13:03,88
33268,24 de mayo de 2021  12:58,24 de mayo de 2021  13:03,63
34465,24 de mayo de 2021  13:01,24 de mayo de 2021  13:05,88
30064,24 de mayo de 2021  13:02,24 de mayo de 2021  13:06,63
33327,24 de mayo de 2021  13:13,24 de mayo de 2021  13:15,100
34102,24 de mayo de 2021  13:17,24 de mayo de 2021  13:19,100
26859,24 de mayo de 2021  13:23,24 de mayo de 2021  13:25,75
33957,24 de mayo de 2021  13:26,24 de mayo de 2021  13:30,75
32355,24 de mayo de 2021  13:29,24 de mayo de 2021  13:32,100
33110,24 de mayo de 2021  13:34,24 de mayo de 2021  13:35,63
33870,24 de mayo de 2021  13:35,24 de mayo de 2021  13:36,63
32231,24 de mayo de 2021  13:39,24 de mayo de 2021  13:42,100
34350,24 de mayo de 2021  13:39,24 de mayo de 2021  13:51,88
34111,24 de mayo de 2021  13:45,24 de mayo de 2021  13:47,75
32280,24 de mayo de 2021  13:49,24 de mayo de 2021  13:51,88
32280,24 de mayo de 2021  13:51,24 de mayo de 2021  13:54,88
34350,24 de mayo de 2021  13:52,24 de mayo de 2021  13:55,88
32280,24 de mayo de 2021  13:54,24 de mayo de 2021  13:56,100
34350,24 de mayo de 2021  13:55,24 de mayo de 2021  13:57,75
34350,24 de mayo de 2021  13:58,24 de mayo de 2021  14:01,88
34350,24 de mayo de 2021  14:03,24 de mayo de 2021  14:05,100
32965,24 de mayo de 2021  14:04,24 de mayo de 2021  14:06,63
33468,24 de mayo de 2021  14:05,24 de mayo de 2021  14:15,100
35369,24 de mayo de 2021  14:06,24 de mayo de 2021  14:11,50
35369,24 de mayo de 2021  14:12,24 de mayo de 2021  14:13,63
33405,24 de mayo de 2021  14:31,24 de mayo de 2021  14:32,63
32806,24 de mayo de 2021  14:39,24 de mayo de 2021  14:47,100
32404,24 de mayo de 2021  14:41,24 de mayo de 2021  14:42,88
28990,24 de mayo de 2021  14:44,24 de mayo de 2021  14:48,88
