id,hora_inicio,hora_fin,nota
33420,29 de abril de 2021  00:35,29 de abril de 2021  00:40,20
25870,29 de abril de 2021  00:40,29 de abril de 2021  00:42,100
15539,29 de abril de 2021  00:49,29 de abril de 2021  10:48,100
11971,29 de abril de 2021  02:25,29 de abril de 2021  02:50,100
30787,29 de abril de 2021  02:37,29 de abril de 2021  02:41,100
30398,29 de abril de 2021  03:09,29 de abril de 2021  03:14,100
33654,29 de abril de 2021  04:12,29 de abril de 2021  04:19,60
32201,29 de abril de 2021  05:27,29 de abril de 2021  05:33,100
33213,29 de abril de 2021  08:10,29 de abril de 2021  08:11,100
34474,29 de abril de 2021  08:31,29 de abril de 2021  08:32,100
23690,29 de abril de 2021  08:34,29 de abril de 2021  08:40,100
35393,29 de abril de 2021  08:44,29 de abril de 2021  08:52,100
30879,29 de abril de 2021  08:52,29 de abril de 2021  08:57,100
30193,29 de abril de 2021  08:56,29 de abril de 2021  08:58,100
29149,29 de abril de 2021  09:24,29 de abril de 2021  09:25,100
16240,29 de abril de 2021  09:32,29 de abril de 2021  09:38,100
35111,29 de abril de 2021  09:32,29 de abril de 2021  09:34,100
26717,29 de abril de 2021  09:48,29 de abril de 2021  09:52,100
29239,29 de abril de 2021  09:52,29 de abril de 2021  09:54,100
21286,29 de abril de 2021  09:52,29 de abril de 2021  09:55,20
34472,29 de abril de 2021  10:01,29 de abril de 2021  10:13,100
32797,29 de abril de 2021  10:14,29 de abril de 2021  11:28,100
34837,29 de abril de 2021  10:20,29 de abril de 2021  11:33,100
33896,29 de abril de 2021  10:21,29 de abril de 2021  10:42,60
26180,29 de abril de 2021  10:27,29 de abril de 2021  10:30,60
32277,29 de abril de 2021  10:33,29 de abril de 2021  10:45,60
34798,29 de abril de 2021  10:34,29 de abril de 2021  10:43,20
32205,29 de abril de 2021  10:35,29 de abril de 2021  10:50,100
30765,29 de abril de 2021  10:36,29 de abril de 2021  10:41,100
32207,29 de abril de 2021  10:42,29 de abril de 2021  10:43,20
34682,29 de abril de 2021  10:44,29 de abril de 2021  11:09,100
33981,29 de abril de 2021  10:48,29 de abril de 2021  10:52,100
35331,29 de abril de 2021  10:51,29 de abril de 2021  10:54,60
26808,29 de abril de 2021  10:53,29 de abril de 2021  10:57,60
27252,29 de abril de 2021  10:55,30 de abril de 2021  19:52,80
33381,29 de abril de 2021  11:07,29 de abril de 2021  11:13,100
32519,29 de abril de 2021  11:31,29 de abril de 2021  11:33,100
35442,29 de abril de 2021  11:42,29 de abril de 2021  11:51,100
33870,29 de abril de 2021  11:43,29 de abril de 2021  11:46,100
33291,29 de abril de 2021  11:43,29 de abril de 2021  11:51,0
32382,29 de abril de 2021  11:45,29 de abril de 2021  11:55,100
26677,29 de abril de 2021  11:48,29 de abril de 2021  11:51,100
30723,29 de abril de 2021  11:51,29 de abril de 2021  12:07,100
32557,29 de abril de 2021  11:54,29 de abril de 2021  12:01,100
30120,29 de abril de 2021  11:55,29 de abril de 2021  11:57,100
9139,29 de abril de 2021  11:55,29 de abril de 2021  11:56,60
32748,29 de abril de 2021  11:57,29 de abril de 2021  12:11,100
34065,29 de abril de 2021  12:09,29 de abril de 2021  12:10,100
30940,29 de abril de 2021  12:15,29 de abril de 2021  12:28,60
34975,29 de abril de 2021  12:24,29 de abril de 2021  12:27,40
